start_time,away_team,away_team_score,home_team,home_team_score
2004-11-28 00:00:00+00:00,PHILADELPHIA 76ERS,99,ORLANDO MAGIC,105
2004-11-28 00:30:00+00:00,CHICAGO BULLS,74,CLEVELAND CAVALIERS,96
2004-11-28 01:00:00+00:00,DALLAS MAVERICKS,98,MEMPHIS GRIZZLIES,85
2004-11-28 01:30:00+00:00,DENVER NUGGETS,82,HOUSTON ROCKETS,76
2004-11-28 01:30:00+00:00,UTAH JAZZ,76,SAN ANTONIO SPURS,109
2004-11-28 02:00:00+00:00,DETROIT PISTONS,90,MILWAUKEE BUCKS,96
2004-11-28 20:00:00+00:00,WASHINGTON WIZARDS,114,TORONTO RAPTORS,109
2004-11-28 20:30:00+00:00,GOLDEN STATE WARRIORS,91,LOS ANGELES CLIPPERS,103
2004-11-28 23:00:00+00:00,BOSTON CELTICS,104,MIAMI HEAT,106
2004-11-28 23:00:00+00:00,NEW JERSEY NETS,71,PORTLAND TRAIL BLAZERS,83
2004-11-29 02:00:00+00:00,MINNESOTA TIMBERWOLVES,121,SACRAMENTO KINGS,110
2004-11-29 02:00:00+00:00,INDIANA PACERS,95,SEATTLE SUPERSONICS,103
2004-11-29 02:30:00+00:00,NEW ORLEANS HORNETS,76,LOS ANGELES LAKERS,89
2004-11-30 00:00:00+00:00,BOSTON CELTICS,117,ORLANDO MAGIC,101
2004-11-30 02:00:00+00:00,NEW ORLEANS HORNETS,67,DENVER NUGGETS,76
2004-11-30 03:30:00+00:00,CLEVELAND CAVALIERS,82,LOS ANGELES CLIPPERS,94
2004-12-01 00:30:00+00:00,NEW YORK KNICKS,110,ATLANTA HAWKS,109
2004-12-01 00:30:00+00:00,TORONTO RAPTORS,94,MIAMI HEAT,92
2004-12-01 00:30:00+00:00,CHARLOTTE BOBCATS,86,NEW JERSEY NETS,99
2004-12-01 01:00:00+00:00,SACRAMENTO KINGS,98,MEMPHIS GRIZZLIES,93
2004-12-01 01:00:00+00:00,LOS ANGELES LAKERS,95,MILWAUKEE BUCKS,90
2004-12-01 01:30:00+00:00,SAN ANTONIO SPURS,107,DALLAS MAVERICKS,89
2004-12-01 01:30:00+00:00,DETROIT PISTONS,93,HOUSTON ROCKETS,72
2004-12-01 02:00:00+00:00,PHOENIX SUNS,115,UTAH JAZZ,102
2004-12-01 03:00:00+00:00,SEATTLE SUPERSONICS,94,PORTLAND TRAIL BLAZERS,100
2004-12-02 00:00:00+00:00,MILWAUKEE BUCKS,100,BOSTON CELTICS,101
2004-12-02 00:00:00+00:00,TORONTO RAPTORS,108,ORLANDO MAGIC,129
2004-12-02 00:00:00+00:00,NEW JERSEY NETS,68,WASHINGTON WIZARDS,95
2004-12-02 00:30:00+00:00,MEMPHIS GRIZZLIES,82,NEW YORK KNICKS,90
2004-12-02 01:00:00+00:00,SACRAMENTO KINGS,94,NEW ORLEANS HORNETS,81
2004-12-02 01:30:00+00:00,LOS ANGELES LAKERS,84,CHICAGO BULLS,92
2004-12-02 01:30:00+00:00,PHILADELPHIA 76ERS,72,SAN ANTONIO SPURS,105
2004-12-02 02:00:00+00:00,CLEVELAND CAVALIERS,101,PHOENIX SUNS,120
2004-12-02 03:00:00+00:00,UTAH JAZZ,119,SEATTLE SUPERSONICS,129
2004-12-02 03:30:00+00:00,MINNESOTA TIMBERWOLVES,107,GOLDEN STATE WARRIORS,99
2004-12-02 03:30:00+00:00,INDIANA PACERS,76,LOS ANGELES CLIPPERS,88
