start_time,away_team,away_team_score,home_team,home_team_score
2006-11-22 00:00:00+00:00,DETROIT PISTONS,97,PHILADELPHIA 76ERS,87
2006-11-22 01:00:00+00:00,MIAMI HEAT,86,NEW ORLEANS/OKLAHOMA CITY HORNETS,101
2006-11-22 01:30:00+00:00,WASHINGTON WIZARDS,80,DALLAS MAVERICKS,107
2006-11-22 02:00:00+00:00,CHICAGO BULLS,109,DENVER NUGGETS,113
2006-11-22 03:30:00+00:00,LOS ANGELES CLIPPERS,101,LOS ANGELES LAKERS,105
2006-11-23 00:00:00+00:00,BOSTON CELTICS,83,CHARLOTTE BOBCATS,92
2006-11-23 00:00:00+00:00,INDIANA PACERS,91,ORLANDO MAGIC,96
2006-11-23 00:00:00+00:00,CLEVELAND CAVALIERS,87,TORONTO RAPTORS,95
2006-11-23 00:30:00+00:00,ATLANTA HAWKS,98,DETROIT PISTONS,103
2006-11-23 00:30:00+00:00,MIAMI HEAT,86,SAN ANTONIO SPURS,106
2006-11-23 01:00:00+00:00,PHILADELPHIA 76ERS,94,MILWAUKEE BUCKS,98
2006-11-23 01:00:00+00:00,NEW YORK KNICKS,89,MINNESOTA TIMBERWOLVES,107
2006-11-23 01:30:00+00:00,WASHINGTON WIZARDS,82,HOUSTON ROCKETS,86
2006-11-23 02:00:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,83,PHOENIX SUNS,92
2006-11-23 03:00:00+00:00,NEW JERSEY NETS,97,PORTLAND TRAIL BLAZERS,100
2006-11-23 03:00:00+00:00,UTAH JAZZ,110,SACRAMENTO KINGS,101
2006-11-23 03:30:00+00:00,DENVER NUGGETS,115,GOLDEN STATE WARRIORS,112
2006-11-23 03:30:00+00:00,SEATTLE SUPERSONICS,95,LOS ANGELES CLIPPERS,85
2006-11-25 00:30:00+00:00,TORONTO RAPTORS,93,ATLANTA HAWKS,97
2006-11-25 00:30:00+00:00,NEW YORK KNICKS,101,BOSTON CELTICS,77
2006-11-25 00:30:00+00:00,ORLANDO MAGIC,107,MIAMI HEAT,104
2006-11-25 00:30:00+00:00,CHICAGO BULLS,108,PHILADELPHIA 76ERS,123
2006-11-25 01:00:00+00:00,CHARLOTTE BOBCATS,95,DETROIT PISTONS,104
2006-11-25 01:00:00+00:00,CLEVELAND CAVALIERS,87,INDIANA PACERS,97
2006-11-25 01:00:00+00:00,WASHINGTON WIZARDS,80,MEMPHIS GRIZZLIES,95
2006-11-25 01:00:00+00:00,MINNESOTA TIMBERWOLVES,86,NEW ORLEANS/OKLAHOMA CITY HORNETS,79
2006-11-25 01:00:00+00:00,DALLAS MAVERICKS,95,SAN ANTONIO SPURS,92
2006-11-25 02:00:00+00:00,GOLDEN STATE WARRIORS,129,DENVER NUGGETS,140
2006-11-25 02:00:00+00:00,LOS ANGELES LAKERS,108,UTAH JAZZ,114
2006-11-25 03:30:00+00:00,NEW JERSEY NETS,93,PHOENIX SUNS,99
2006-11-25 03:30:00+00:00,SACRAMENTO KINGS,109,SEATTLE SUPERSONICS,100
2006-11-26 00:00:00+00:00,MIAMI HEAT,102,CHARLOTTE BOBCATS,93
2006-11-26 00:00:00+00:00,ATLANTA HAWKS,79,ORLANDO MAGIC,98
2006-11-26 00:00:00+00:00,DETROIT PISTONS,115,WASHINGTON WIZARDS,111
2006-11-26 00:30:00+00:00,PHILADELPHIA 76ERS,95,CLEVELAND CAVALIERS,108
2006-11-26 00:30:00+00:00,CHICAGO BULLS,106,NEW YORK KNICKS,95
2006-11-26 01:00:00+00:00,LOS ANGELES CLIPPERS,96,MINNESOTA TIMBERWOLVES,104
2006-11-26 01:30:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,73,DALLAS MAVERICKS,85
2006-11-26 01:30:00+00:00,MEMPHIS GRIZZLIES,76,HOUSTON ROCKETS,85
2006-11-26 02:00:00+00:00,BOSTON CELTICS,111,MILWAUKEE BUCKS,98
2006-11-26 03:00:00+00:00,PORTLAND TRAIL BLAZERS,85,SACRAMENTO KINGS,105
2006-11-26 03:30:00+00:00,UTAH JAZZ,78,GOLDEN STATE WARRIORS,91
2006-11-26 18:00:00+00:00,INDIANA PACERS,83,TORONTO RAPTORS,92
2006-11-27 01:00:00+00:00,LOS ANGELES CLIPPERS,88,DENVER NUGGETS,103
2006-11-27 02:00:00+00:00,PHOENIX SUNS,119,PORTLAND TRAIL BLAZERS,101
2006-11-27 02:00:00+00:00,SAN ANTONIO SPURS,98,SEATTLE SUPERSONICS,78
2006-11-27 02:30:00+00:00,NEW JERSEY NETS,93,LOS ANGELES LAKERS,99
2006-11-28 00:30:00+00:00,PHILADELPHIA 76ERS,91,MIAMI HEAT,103
2006-11-28 01:30:00+00:00,MINNESOTA TIMBERWOLVES,87,DALLAS MAVERICKS,93
2006-11-28 02:00:00+00:00,ORLANDO MAGIC,88,UTAH JAZZ,75
2006-11-28 03:30:00+00:00,SAN ANTONIO SPURS,102,GOLDEN STATE WARRIORS,111
2006-11-29 00:00:00+00:00,ATLANTA HAWKS,95,WASHINGTON WIZARDS,96
2006-11-29 00:30:00+00:00,CHARLOTTE BOBCATS,96,NEW JERSEY NETS,92
2006-11-29 01:00:00+00:00,TORONTO RAPTORS,94,NEW ORLEANS/OKLAHOMA CITY HORNETS,77
2006-11-29 01:30:00+00:00,NEW YORK KNICKS,85,CHICAGO BULLS,102
2006-11-29 01:30:00+00:00,MINNESOTA TIMBERWOLVES,75,HOUSTON ROCKETS,82
2006-11-29 02:00:00+00:00,MEMPHIS GRIZZLIES,108,DENVER NUGGETS,96
2006-11-29 03:00:00+00:00,INDIANA PACERS,105,PORTLAND TRAIL BLAZERS,97
2006-11-29 03:00:00+00:00,LOS ANGELES CLIPPERS,80,SACRAMENTO KINGS,93
2006-11-29 03:30:00+00:00,MILWAUKEE BUCKS,109,LOS ANGELES LAKERS,105
2006-11-30 00:00:00+00:00,CHARLOTTE BOBCATS,90,ATLANTA HAWKS,99
2006-11-30 00:00:00+00:00,NEW YORK KNICKS,101,CLEVELAND CAVALIERS,98
2006-11-30 00:30:00+00:00,NEW JERSEY NETS,106,BOSTON CELTICS,103
2006-11-30 01:30:00+00:00,TORONTO RAPTORS,98,DALLAS MAVERICKS,117
2006-11-30 02:00:00+00:00,HOUSTON ROCKETS,91,PHOENIX SUNS,102
2006-11-30 02:00:00+00:00,SAN ANTONIO SPURS,75,UTAH JAZZ,83
2006-11-30 03:00:00+00:00,ORLANDO MAGIC,94,SEATTLE SUPERSONICS,84
2006-11-30 03:30:00+00:00,INDIANA PACERS,108,GOLDEN STATE WARRIORS,106
2006-11-30 03:30:00+00:00,MEMPHIS GRIZZLIES,90,LOS ANGELES CLIPPERS,105
2006-12-01 01:00:00+00:00,DETROIT PISTONS,87,MIAMI HEAT,85
2006-12-01 03:30:00+00:00,UTAH JAZZ,102,LOS ANGELES LAKERS,132
2006-12-02 00:00:00+00:00,BOSTON CELTICS,102,TORONTO RAPTORS,106
2006-12-02 00:00:00+00:00,CHARLOTTE BOBCATS,109,WASHINGTON WIZARDS,121
2006-12-02 00:30:00+00:00,CLEVELAND CAVALIERS,106,ATLANTA HAWKS,95
2006-12-02 01:00:00+00:00,NEW YORK KNICKS,100,DETROIT PISTONS,108
2006-12-02 01:00:00+00:00,DENVER NUGGETS,106,MINNESOTA TIMBERWOLVES,92
2006-12-02 01:00:00+00:00,CHICAGO BULLS,111,NEW ORLEANS/OKLAHOMA CITY HORNETS,108
2006-12-02 01:30:00+00:00,SACRAMENTO KINGS,90,DALLAS MAVERICKS,109
2006-12-02 02:00:00+00:00,MILWAUKEE BUCKS,116,PHOENIX SUNS,122
2006-12-02 03:00:00+00:00,ORLANDO MAGIC,91,PORTLAND TRAIL BLAZERS,89
2006-12-02 03:30:00+00:00,INDIANA PACERS,103,SEATTLE SUPERSONICS,105
2006-12-03 00:30:00+00:00,PHILADELPHIA 76ERS,107,NEW JERSEY NETS,112
2006-12-03 01:00:00+00:00,MIAMI HEAT,98,MEMPHIS GRIZZLIES,97
2006-12-03 01:00:00+00:00,TORONTO RAPTORS,103,NEW YORK KNICKS,100
2006-12-03 01:00:00+00:00,SACRAMENTO KINGS,98,SAN ANTONIO SPURS,100
2006-12-03 01:30:00+00:00,WASHINGTON WIZARDS,94,CHICAGO BULLS,112
2006-12-03 01:30:00+00:00,CLEVELAND CAVALIERS,63,HOUSTON ROCKETS,81
2006-12-03 02:00:00+00:00,INDIANA PACERS,101,DENVER NUGGETS,121
2006-12-03 02:00:00+00:00,SEATTLE SUPERSONICS,107,UTAH JAZZ,109
2006-12-03 03:30:00+00:00,MILWAUKEE BUCKS,115,GOLDEN STATE WARRIORS,110
2006-12-03 03:30:00+00:00,LOS ANGELES LAKERS,97,LOS ANGELES CLIPPERS,88
2006-12-03 23:00:00+00:00,DETROIT PISTONS,89,CHARLOTTE BOBCATS,97
2006-12-03 23:00:00+00:00,MINNESOTA TIMBERWOLVES,95,PHILADELPHIA 76ERS,84
2006-12-04 02:00:00+00:00,ATLANTA HAWKS,107,PORTLAND TRAIL BLAZERS,96
2006-12-04 02:30:00+00:00,ORLANDO MAGIC,91,LOS ANGELES CLIPPERS,116
2006-12-05 00:00:00+00:00,DALLAS MAVERICKS,97,WASHINGTON WIZARDS,106
2006-12-05 00:30:00+00:00,MEMPHIS GRIZZLIES,90,NEW YORK KNICKS,98
2006-12-05 01:00:00+00:00,GOLDEN STATE WARRIORS,89,SAN ANTONIO SPURS,129
2006-12-05 01:30:00+00:00,BOSTON CELTICS,82,CHICAGO BULLS,100
2006-12-05 02:00:00+00:00,MILWAUKEE BUCKS,88,UTAH JAZZ,101
2006-12-05 03:00:00+00:00,ORLANDO MAGIC,92,SACRAMENTO KINGS,89
2006-12-05 03:30:00+00:00,INDIANA PACERS,87,LOS ANGELES LAKERS,101
2006-12-06 00:30:00+00:00,PORTLAND TRAIL BLAZERS,88,DETROIT PISTONS,85
2006-12-06 00:30:00+00:00,DALLAS MAVERICKS,92,NEW JERSEY NETS,75
2006-12-06 01:30:00+00:00,GOLDEN STATE WARRIORS,90,HOUSTON ROCKETS,118
2006-12-06 02:00:00+00:00,SACRAMENTO KINGS,102,PHOENIX SUNS,127
2006-12-06 03:00:00+00:00,ATLANTA HAWKS,87,SEATTLE SUPERSONICS,102
2006-12-06 03:30:00+00:00,MIAMI HEAT,97,LOS ANGELES CLIPPERS,101
2006-12-07 00:00:00+00:00,SAN ANTONIO SPURS,96,CHARLOTTE BOBCATS,76
2006-12-07 00:00:00+00:00,TORONTO RAPTORS,91,CLEVELAND CAVALIERS,95
2006-12-07 00:00:00+00:00,ORLANDO MAGIC,80,INDIANA PACERS,94
2006-12-07 00:30:00+00:00,MEMPHIS GRIZZLIES,98,BOSTON CELTICS,96
2006-12-07 00:30:00+00:00,WASHINGTON WIZARDS,113,NEW YORK KNICKS,102
2006-12-07 01:00:00+00:00,PORTLAND TRAIL BLAZERS,94,MILWAUKEE BUCKS,102
2006-12-07 01:00:00+00:00,HOUSTON ROCKETS,84,MINNESOTA TIMBERWOLVES,90
2006-12-07 02:00:00+00:00,PHILADELPHIA 76ERS,94,CHICAGO BULLS,121
2006-12-07 02:00:00+00:00,ATLANTA HAWKS,98,DENVER NUGGETS,96
2006-12-07 03:30:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,105,LOS ANGELES LAKERS,89
2006-12-08 00:30:00+00:00,PHOENIX SUNS,161,NEW JERSEY NETS,157
2006-12-08 01:00:00+00:00,DETROIT PISTONS,92,DALLAS MAVERICKS,82
2006-12-08 03:30:00+00:00,MIAMI HEAT,93,SACRAMENTO KINGS,91
2006-12-09 00:00:00+00:00,HOUSTON ROCKETS,92,CHARLOTTE BOBCATS,62
2006-12-09 00:00:00+00:00,PORTLAND TRAIL BLAZERS,95,INDIANA PACERS,108
2006-12-09 00:00:00+00:00,DETROIT PISTONS,87,ORLANDO MAGIC,83
2006-12-09 00:30:00+00:00,PHOENIX SUNS,116,BOSTON CELTICS,111
2006-12-09 01:00:00+00:00,UTAH JAZZ,103,MINNESOTA TIMBERWOLVES,110
2006-12-09 01:00:00+00:00,WASHINGTON WIZARDS,113,PHILADELPHIA 76ERS,98
2006-12-09 01:00:00+00:00,LOS ANGELES CLIPPERS,82,SAN ANTONIO SPURS,111
2006-12-09 01:30:00+00:00,TORONTO RAPTORS,90,CHICAGO BULLS,93
2006-12-09 01:30:00+00:00,MEMPHIS GRIZZLIES,94,MILWAUKEE BUCKS,100
2006-12-09 03:30:00+00:00,MIAMI HEAT,107,DENVER NUGGETS,123
2006-12-09 03:30:00+00:00,ATLANTA HAWKS,95,LOS ANGELES LAKERS,106
2006-12-09 03:30:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,74,SEATTLE SUPERSONICS,94
2006-12-10 00:00:00+00:00,PHILADELPHIA 76ERS,84,ORLANDO MAGIC,86
